word,count
overtly,14
sexual,899
kahloesque,1
Kahloesque,1
lounge,147
lounged,2
pout,11
pouted,1
interior,128
interiors,10
189,151
poignant,24
irony,93
hide,386
broken,404
fall,1654
falls,82
lift,552
lifted,113
reveal,396
luxuriantly,2
perfect,373
physique,26
190,162
visual,119
photos,31
191,158
features,328
embody,41
wide,964
wider,155
assumption,300
assumptions,83
exotic,66
constantly,185
struggling,86
against,4105
deceit,10
192,146
subsequently,157
independent,665
Independent,91
stress,593
stressed,88
facet,18
facets,8
public,1852
persona,19
share,1497
shared,241
emphasis,337
encapsulisation,2
stereotypical,6
193,148
194,146
self,1591
195,158
196,151
february,207
February,209
197,149
198,151
199,144
line,2206
200,532
majority,590
portraiture,8
concern,698
concerns,104
fascination,36
falsity,6
201,155
Dressing,2
playing,622
masquerade,47
conceptual,109
basis,820
202,148
Self,32
Portrait,10
cropped,33
Cropped,1
Hair,9
1944,93
paints,15
wear,953
wearing,276
suit,561
challenging,46
expectation,222
expectations,134
femininity,27
attempting,97
authority,953
threaten,265
threatening,107
castration,2
203,149
More,295
disturbingly,13
Mask,5
1945,130
throw,793
throws,20
too,6014
straightforward,154
revealing,56
inner,420
emotion,139
emotions,39
204,155
ritual,73
repetition,75
uncover,30
uncovers,3
205,158
inevitable,184
logic,159
appropriation,25
meticulously,12
construct,257
constructed,129
mock,83
mocking,23
1933,73
gringa,2
woman,4001
women,1522
imitate,26
imitating,7
trying,802
mexicana,3
Mexicana,1
poor,963
soul,178
souls,16
cabbage,74
cabbages,10
tell,5671
naked,167
absolutely,508
impossible,429
206,151
impossibility,29
stem,136
stemmed,14
failure,513
followers,27
recognise,404
choice,876
intrinsic,44
recent,990
appearances,21
207,141
particularity,7
particularities,3
frequently,339
subsume,22
subsumed,12
decorativeness,2
ethnic,153
generalised,40
attractiveness,12
radical,239
